Time		Xc		Yc		Zc		Xn		Yn		Zn		Xa		Ya		Za
4680		-1.39109e+07		863385		863385		-1.38794e+07		828697		799349		-1.38792e+07		828322		799130		
4740		-1.39434e+07		688938		688938		-1.391e+07		653662		624339		-1.39098e+07		653285		624115		
4800		-1.39686e+07		514130		514130		-1.39332e+07		478281		448998		-1.39331e+07		477903		448769		
4860		-1.39864e+07		339052		339052		-1.39491e+07		302647		273419		-1.39489e+07		302268		273186		
4920		-1.39969e+07		163797		163797		-1.39576e+07		126853		97696.2		-1.39574e+07		126473		97457.7		
4980		-1.40001e+07		-11544.5		-11544.5		-1.39588e+07		-49007.6		-78078.6		-1.39586e+07		-49389		-78321.7		
5040		-1.39959e+07		-186880		-186880		-1.39526e+07		-224843		-253812		-1.39523e+07		-225225		-254060		
5100		-1.39844e+07		-362117		-362117		-1.3939e+07		-400559		-429412		-1.39387e+07		-400941		-429664		
5160		-1.39657e+07		-537165		-537165		-1.3918e+07		-576063		-604784		-1.39177e+07		-576446		-605040		
5220		-1.39395e+07		-711930		-711930		-1.38897e+07		-751263		-779836		-1.38894e+07		-751645		-780096		
5280		-1.39061e+07		-886322		-886322		-1.3854e+07		-926063		-954473		-1.38537e+07		-926445		-954737		
5340		-1.38653e+07		-1.06025e+06		-1.06025e+06		-1.38109e+07		-1.10037e+06		-1.1286e+06		-1.38106e+07		-1.10075e+06		-1.12887e+06		
5400		-1.38172e+07		-1.23361e+06		-1.23361e+06		-1.37604e+07		-1.27409e+06		-1.30213e+06		-1.37601e+07		-1.27447e+06		-1.3024e+06		
5460		-1.37618e+07		-1.40632e+06		-1.40632e+06		-1.37026e+07		-1.44713e+06		-1.47495e+06		-1.37022e+07		-1.4475e+06		-1.47523e+06		
5520		-1.3699e+07		-1.57828e+06		-1.57828e+06		-1.36373e+07		-1.61938e+06		-1.64698e+06		-1.3637e+07		-1.61976e+06		-1.64726e+06		
5580		-1.36288e+07		-1.74939e+06		-1.74939e+06		-1.35647e+07		-1.79076e+06		-1.81812e+06		-1.35643e+07		-1.79113e+06		-1.8184e+06		
5640		-1.35513e+07		-1.91955e+06		-1.91955e+06		-1.34847e+07		-1.96115e+06		-1.98826e+06		-1.34843e+07		-1.96153e+06		-1.98854e+06		
5700		-1.34665e+07		-2.08867e+06		-2.08867e+06		-1.33972e+07		-2.13047e+06		-2.15731e+06		-1.33968e+07		-2.13085e+06		-2.15759e+06		
5760		-1.33742e+07		-2.25665e+06		-2.25665e+06		-1.33023e+07		-2.29861e+06		-2.32516e+06		-1.33019e+07		-2.29899e+06		-2.32545e+06		
5820		-1.32746e+07		-2.42338e+06		-2.42338e+06		-1.32e+07		-2.46547e+06		-2.49171e+06		-1.31996e+07		-2.46584e+06		-2.492e+06		
5880		-1.31676e+07		-2.58877e+06		-2.58877e+06		-1.30903e+07		-2.63094e+06		-2.65686e+06		-1.30899e+07		-2.6313e+06		-2.65715e+06		
5940		-1.30532e+07		-2.75269e+06		-2.75269e+06		-1.29731e+07		-2.79491e+06		-2.8205e+06		-1.29727e+07		-2.79527e+06		-2.82079e+06		
6000		-1.29313e+07		-2.91506e+06		-2.91506e+06		-1.28485e+07		-2.95727e+06		-2.98251e+06		-1.2848e+07		-2.95763e+06		-2.9828e+06		
6060		-1.28021e+07		-3.07575e+06		-3.07575e+06		-1.27164e+07		-3.11792e+06		-3.14279e+06		-1.27159e+07		-3.11827e+06		-3.14308e+06		
6120		-1.26654e+07		-3.23465e+06		-3.23465e+06		-1.25768e+07		-3.27673e+06		-3.30122e+06		-1.25763e+07		-3.27708e+06		-3.30151e+06		
6180		-1.25213e+07		-3.39166e+06		-3.39166e+06		-1.24297e+07		-3.43359e+06		-3.45768e+06		-1.24292e+07		-3.43393e+06		-3.45797e+06		
6240		-1.23697e+07		-3.54664e+06		-3.54664e+06		-1.22751e+07		-3.58838e+06		-3.61205e+06		-1.22746e+07		-3.58872e+06		-3.61235e+06		
6300		-1.22106e+07		-3.69949e+06		-3.69949e+06		-1.21131e+07		-3.74097e+06		-3.76422e+06		-1.21125e+07		-3.74131e+06		-3.76451e+06		
6360		-1.20441e+07		-3.85007e+06		-3.85007e+06		-1.19435e+07		-3.89125e+06		-3.91404e+06		-1.19429e+07		-3.89157e+06		-3.91434e+06		
6420		-1.18701e+07		-3.99825e+06		-3.99825e+06		-1.17663e+07		-4.03907e+06		-4.0614e+06		-1.17658e+07		-4.03939e+06		-4.06169e+06		
6480		-1.16886e+07		-4.14392e+06		-4.14392e+06		-1.15817e+07		-4.1843e+06		-4.20615e+06		-1.15811e+07		-4.18461e+06		-4.20644e+06		
6540		-1.14996e+07		-4.28692e+06		-4.28692e+06		-1.13895e+07		-4.32681e+06		-4.34816e+06		-1.13889e+07		-4.32711e+06		-4.34845e+06		
6600		-1.13031e+07		-4.42712e+06		-4.42712e+06		-1.11897e+07		-4.46644e+06		-4.48729e+06		-1.11891e+07		-4.46674e+06		-4.48758e+06		
6660		-1.10991e+07		-4.56438e+06		-4.56438e+06		-1.09824e+07		-4.60307e+06		-4.62338e+06		-1.09818e+07		-4.60336e+06		-4.62367e+06		
6720		-1.08875e+07		-4.69854e+06		-4.69854e+06		-1.07676e+07		-4.73652e+06		-4.75629e+06		-1.07669e+07		-4.7368e+06		-4.75657e+06		
6780		-1.06684e+07		-4.82945e+06		-4.82945e+06		-1.05451e+07		-4.86664e+06		-4.88585e+06		-1.05444e+07		-4.86692e+06		-4.88613e+06		
6840		-1.04418e+07		-4.95695e+06		-4.95695e+06		-1.03151e+07		-4.99327e+06		-5.0119e+06		-1.03144e+07		-4.99354e+06		-5.01218e+06		
6900		-1.02077e+07		-5.08088e+06		-5.08088e+06		-1.00776e+07		-5.11624e+06		-5.13428e+06		-1.00768e+07		-5.1165e+06		-5.13455e+06		
6960		-9.966e+06		-5.20106e+06		-5.20106e+06		-9.83245e+06		-5.23538e+06		-5.2528e+06		-9.8317e+06		-5.23562e+06		-5.25306e+06		
7020		-9.7168e+06		-5.31731e+06		-5.31731e+06		-9.57978e+06		-5.35048e+06		-5.36728e+06		-9.579e+06		-5.35072e+06		-5.36753e+06		
7080		-9.46008e+06		-5.42944e+06		-5.42944e+06		-9.31956e+06		-5.46138e+06		-5.47752e+06		-9.31877e+06		-5.4616e+06		-5.47777e+06		
7140		-9.19586e+06		-5.53727e+06		-5.53727e+06		-9.05182e+06		-5.56786e+06		-5.58334e+06		-9.051e+06		-5.56807e+06		-5.58359e+06		
7200		-8.92415e+06		-5.64058e+06		-5.64058e+06		-8.77657e+06		-5.66973e+06		-5.68453e+06		-8.77573e+06		-5.66992e+06		-5.68476e+06		
7260		-8.64497e+06		-5.73918e+06		-5.73918e+06		-8.49383e+06		-5.76676e+06		-5.78086e+06		-8.49298e+06		-5.76694e+06		-5.78109e+06		
7320		-8.35835e+06		-5.83284e+06		-5.83284e+06		-8.20365e+06		-5.85873e+06		-5.87211e+06		-8.20278e+06		-5.85889e+06		-5.87233e+06		
7380		-8.06433e+06		-5.92133e+06		-5.92133e+06		-7.90605e+06		-5.9454e+06		-5.95806e+06		-7.90516e+06		-5.94555e+06		-5.95826e+06		
7440		-7.76294e+06		-6.00441e+06		-6.00441e+06		-7.60109e+06		-6.02654e+06		-6.03844e+06		-7.60018e+06		-6.02667e+06		-6.03864e+06		
7500		-7.45424e+06		-6.08183e+06		-6.08183e+06		-7.28882e+06		-6.10188e+06		-6.11301e+06		-7.28789e+06		-6.10199e+06		-6.1132e+06		
7560		-7.13829e+06		-6.15333e+06		-6.15333e+06		-6.96931e+06		-6.17115e+06		-6.1815e+06		-6.96836e+06		-6.17125e+06		-6.18168e+06		
7620		-6.81515e+06		-6.21863e+06		-6.21863e+06		-6.64263e+06		-6.23408e+06		-6.24363e+06		-6.64166e+06		-6.23416e+06		-6.24379e+06		
7680		-6.48492e+06		-6.27746e+06		-6.27746e+06		-6.30888e+06		-6.29036e+06		-6.2991e+06		-6.30789e+06		-6.29042e+06		-6.29924e+06		
